asset_path,display_label,source,category
audio/classic/units/arbiter/chatter/pabPss00__3a87a25641.wav,We sense a sore in search of answers.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/arbiter/chatter/pabPss01__e608bab11a.wav,Do you seek knowledge of time travel?,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/arbiter/chatter/pabPss02__ef3dbc7e79.wav,We'll take that as a yes.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/arbiter/chatter/pabPss03__7b72d687fa.wav,And now for your first lesson.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/arbiter/chatter/pabPss04__2df8693246.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/arbiter/death/pabDth00__7843d04f47.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/arbiter/move/pabRdy00__3b458a97a0.wav,Warfield Stabilized,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabWht00__846a0ca39a.wav,We feel your presence.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabWht01__c518a18c8c.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabWht02__a06121fb08.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabWht03__a566c8b0d3.wav,We are vigilant.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabYes00__01aeebc63b.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabYes01__a874575c21.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/arbiter/move/pabYes02__c1e6e2e4c0.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/archon/attack/alias_archon_parYes00__6a07e6d591.wav,DESTROY!,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/archon/attack/alias_archon_parYes01__e0f774c799.wav,Annihilate!,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/archon/attack/alias_archon_parYes02__bdcdd3b085.wav,Attack voice 03,SC1/BW,ATTACK VO
audio/classic/units/archon/chatter/parPss00__e54af3e059.wav,It all looks so different on this side!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/archon/chatter/parPss01__d301a9da92.wav,Break all through,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/archon/chatter/parPss02__6d372bd9d9.wav,It's beautiful!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/archon/chatter/parPss03__1882f612b4.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/archon/death/parDth00__95ab99cfd2.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/archon/move/parRdy00__d4642a4d1e.wav,The merging is complete!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parWht00__f79f1c105b.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parWht01__a4fbacb108.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parWht02__e8df06a915.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parWht03__77e20e01cb.wav,Power overwhelming.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parYes00__6a07e6d591.wav,DESTROY!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parYes01__e0f774c799.wav,Annihilate!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parYes02__bdcdd3b085.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/archon/move/parYes03__761c0f945c.wav,ARADICATE!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/attack/alias_battlecruiser_tbayes00__db7111430a.wav,Make it happen.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/battlecruiser/attack/alias_battlecruiser_tbayes01__5db16f3048.wav,Set a course.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/battlecruiser/attack/alias_battlecruiser_tbayes03__c0090362cb.wav,in the cage.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/battlecruiser/chatter/tbapss00__974de5d9dd.wav,Identify yourself.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/battlecruiser/chatter/tbapss01__873def5cbf.wav,"Shields up, weapons online.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/battlecruiser/chatter/tbapss02__7127020697.wav,Another grip with shields. Well then buckle up!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/battlecruiser/chatter/tbapss03__68a383f9f2.wav,We are getting way behind schedule.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/battlecruiser/chatter/tbapss04__da793ec77c.wav,I really have to go. Number one.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
