asset_path,roles,source,sha256
audio/units/archon/canonical/0bf4917bb3d55cba__Archon_Ready00.ogg,move,SC2 game-data canonical recovery,0bf4917bb3d55cba561e35b536bfabea3e1f7bdedb9b558e206d2b6a230c9ccd
audio/units/baneling/canonical/2ae5e25b1e50227c__Baneling_Death0.wav,death,SC2 game-data canonical recovery,2ae5e25b1e50227c886f3957fff0b0094fb3edd926bd32a07de0419b880b4c89
audio/units/baneling/canonical/010b516cd77b5426__Baneling_Death1.wav,death,SC2 game-data canonical recovery,010b516cd77b5426e5b718e597752368c14b0e35cc5e8f90408c5e9744c49c74
audio/units/baneling/canonical/d1fa15139e4e75fe__Baneling_Death2.wav,death,SC2 game-data canonical recovery,d1fa15139e4e75fe7f16553d4b3820c3d791c0253eae63d0cabafeae403780f6
audio/units/baneling/canonical/74bfeb8365db8d34__Baneling_Death3.wav,death,SC2 game-data canonical recovery,74bfeb8365db8d34576d932a0e44a4dd31c9b85a6b0fcfe1353bb6c58ca507a0
audio/units/baneling/canonical/7c632007e264a7fe__Baneling_Death4.wav,death,SC2 game-data canonical recovery,7c632007e264a7fe560824096de33a6feef02e4a040abb50a7cb3dd1974af564
audio/units/baneling/canonical/7d789530702f58df__Baneling_Death5.wav,death,SC2 game-data canonical recovery,7d789530702f58dfefba0eea9f47ba3f6d265c2202f40c9ec85394bd38357b60
audio/units/baneling/canonical/1d583fa44e8087d8__Baneling_Ready0.ogg,move,SC2 game-data canonical recovery,1d583fa44e8087d8497a3c1a71288ed0c56011b7968bd848dc4b7654aaea0171
audio/units/baneling/canonical/4c8ab8161c38ee0e__Baneling_Ready1.ogg,move,SC2 game-data canonical recovery,4c8ab8161c38ee0e7e7b4c4cfcf9a0de7a4f16e8a21913c59ca599271d2dfd22
audio/units/baneling/canonical/c5cb5a0146b45354__Baneling_Ready2.ogg,move,SC2 game-data canonical recovery,c5cb5a0146b45354ee8e015c9264b027a69f4357b80952d40f94b8a81bf227a8
audio/units/baneling/canonical/062c8ebda6f10215__Baneling_What0.ogg,move|chatter,SC2 game-data canonical recovery,062c8ebda6f10215547c822c837b54117ddb994f607ce66d8bffa620544bfc8a
audio/units/baneling/canonical/2f19e2b17a7a23f2__Baneling_What1.ogg,move|chatter,SC2 game-data canonical recovery,2f19e2b17a7a23f2dcee7afb59ff6707639c277046c41f2da40f698fc6695694
audio/units/baneling/canonical/5594c9287b16fc33__Baneling_What2.ogg,move|chatter,SC2 game-data canonical recovery,5594c9287b16fc33af4cf02a1fcd7580828ed31110504b3c3be3a0b8a5d4640c
audio/units/baneling/canonical/757b51c799ae8ad7__Baneling_What3.ogg,move|chatter,SC2 game-data canonical recovery,757b51c799ae8ad70e3b0b9fe5022f80a43409f3269bf857d6aba9f9a80da06f
audio/units/baneling/canonical/cbf9a38b5a7eb890__Baneling_What4.ogg,move|chatter,SC2 game-data canonical recovery,cbf9a38b5a7eb8904e1cc2bd2efeb497ac7ec44a2666126e6311925a316e5246
audio/units/baneling/canonical/00b9b1dd66f830cc__Baneling_What5.ogg,move|chatter,SC2 game-data canonical recovery,00b9b1dd66f830cc2c3d3ddc5b0274590d7c8eeef78cdef06f4ef908c214e4e3
audio/units/banshee/canonical/e5de02fc937f9409__Banshee_Ready00.ogg,move,SC2 game-data canonical recovery,e5de02fc937f9409a5478ea17bdea8d696cc594d094ff07e50e0d30a97c27c88
audio/units/banshee/canonical/9a8385cfe094ad7a__Banshee_What00.ogg,move,SC2 game-data canonical recovery,9a8385cfe094ad7ad054989efe843268e8cd223934640961c967fe1dfcc957a8
audio/units/banshee/canonical/f590faf744380d9e__Banshee_What01.ogg,move,SC2 game-data canonical recovery,f590faf744380d9e62b8345e943a3baedbd6fd2ea6a8d11303c80141c55cc884
audio/units/banshee/canonical/7b1907ba75e4c59d__Banshee_What02.ogg,move,SC2 game-data canonical recovery,7b1907ba75e4c59d3132b0b1dd44fd5e87e4ab5a767071004af96f9f074ffc95
audio/units/banshee/canonical/22d00a661ef3b236__Banshee_What03.ogg,move,SC2 game-data canonical recovery,22d00a661ef3b23691da7749f3344db02efb74513a6ff5374ac78b11edff1b94
audio/units/banshee/canonical/96405fa6fa0b18c0__Banshee_What04.ogg,move,SC2 game-data canonical recovery,96405fa6fa0b18c06e8c78da4c0c41f0ff549d0ea1ee6d3420e5c9a0298aa2df
audio/units/banshee/canonical/bdf46748d622b3e9__Banshee_What05.ogg,move,SC2 game-data canonical recovery,bdf46748d622b3e9339acbaf07ba44b766f8ee98a7257fb73eba9fff8de532a4
audio/units/banshee/canonical/f168c6f00fd27e8d__Banshee_Yes00.ogg,move,SC2 game-data canonical recovery,f168c6f00fd27e8d8dbe28bb92056e424c4586288264813ba1000df2a41571a5
audio/units/banshee/canonical/e3bd362275e7cfcf__Banshee_Yes01.ogg,move,SC2 game-data canonical recovery,e3bd362275e7cfcfdd837268d2e8eb0152d1660aa9f76591832e4b792a42614f
audio/units/banshee/canonical/db1f4312e5b04c1f__Banshee_Yes02.ogg,move,SC2 game-data canonical recovery,db1f4312e5b04c1fc6df1b51a7295f428b13d726e9125f32ec55fce350ef0736
audio/units/battlecruiser/canonical/207c580f98f2b433__Battlecruiser_Ready00.ogg,move,SC2 game-data canonical recovery,207c580f98f2b433108178a0bc4805c2539b43225ec692c35380d11ba220513f
audio/units/battlecruiser/canonical/cfe93b7c975d3d18__Battlecruiser_What00.ogg,move,SC2 game-data canonical recovery,cfe93b7c975d3d186e595912bead3f295c63ee1c9f99ba13839d4a21a1fd34c5
audio/units/battlecruiser/canonical/2bb84a910422e0f0__Battlecruiser_What01.ogg,move,SC2 game-data canonical recovery,2bb84a910422e0f0cfa4736c6fb4d05e502a119502765d35612357c922bfebaa
