asset_path,sha256,source_path,source_event,speaker,speaker_faction,verified_transcript,result_role,winner_scope,literal_gg,door_eligible,ceremony_eligible,victory_eligible,tie_eligible,gain_db,reverb_ms,confidence,notes
audio/ui/tie_endgame/Lowko_EndGameTied00.ogg,93079ec245c6b81be9d263e28c3cdab23d6bf42c470c1f0a4e3f6a35671431ad,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Lowko/Lowko_EndGameTied00.ogg,EndGameTied/GGTie,Lowko,NEUTRAL,"Wow, it's a tie?",TIE_VO,TIE_ONLY,false,false,false,false,true,-0.2,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-15.8 LUFS, peak=-1.7 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/tie_endgame/Lowko_EndGameTied01.ogg,df4d2c0b5d92f9deaf85639ce9d1fb9c86f04d87a6bc9d7b5d77022317e5f19e,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Lowko/Lowko_EndGameTied01.ogg,EndGameTied/GGTie,Lowko,NEUTRAL,"A tie? Don't worry, you'll win next time.",TIE_VO,TIE_ONLY,false,false,false,false,true,-0.7,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-15.3 LUFS, peak=-1.6 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/gg_ceremony/Lowko_EndGameWon00.ogg,9638ff5dd161e5b929e9a6700cd0969e43f33dfcd9ca20fb4943f1ceb70f9239,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Lowko/Lowko_EndGameWon00.ogg,EndGameWon,Lowko,NEUTRAL,"Good game, well played!",GG_LITERAL,ANY,true,true,true,false,false,-2.7,600,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-13.3 LUFS, peak=-1.6 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/gg_ceremony/Lowko_EndGameWon01.ogg,c82cefe1ac6c27ff86f04538219fca9ac7243862914e9c363d64e6eab10b1c1c,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Lowko/Lowko_EndGameWon01.ogg,EndGameWon,Lowko,NEUTRAL,"GG, congratulations!",GG_LITERAL,ANY,true,true,true,false,false,-0.7,600,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-15.3 LUFS, peak=-2.2 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/tie_endgame/MengskA_GGTie00.ogg,eac71e3a6fa87279b43a14ea2984d267ebf5d179703336d480b35533706b4ac2,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Mengsk_Announcer/MengskA_GGTie00.ogg,EndGameTied/GGTie,Mengsk,TERRAN,"Hm, there are only ever winners and losers.",TIE_VO,TIE_ONLY,false,false,false,false,true,-3.7,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-12.3 LUFS, peak=-0.3 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/terran/MengskA_GGWin00.ogg,37212fe8704bb32c31e31c30f6a794362b1c548adc571018f44b64cbee44d5bf,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Mengsk_Announcer/MengskA_GGWin00.ogg,EndGameWon/GGWin,Mengsk,TERRAN,"Well, it's all in order.",VICTORY_VO,TERRAN,false,false,false,true,false,-1.7,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-14.3 LUFS, peak=-0.5 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/tie_endgame/StetmannA_GGTie00.ogg,5ef17be08ab83d62c722faf208deda1d5e1ca27bd49effd1611ec9604b1a4f56,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Stetmann_Announcer/StetmannA_GGTie00.ogg,EndGameTied/GGTie,Stetmann,ZERG,"Yep, it ended just like the voices in my head predicted.",TIE_VO,TIE_ONLY,false,false,false,false,true,-3.4,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-12.6 LUFS, peak=0.6 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/zerg/StetmannA_GGWin00.ogg,49938031ac34c7fe7ce6d542cbc26d5db1ee399b6edd721cc63302470444769d,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Stetmann_Announcer/StetmannA_GGWin00.ogg,GGWin,Stetmann,ZERG,The voices in my head are silent! Finally! Thank you!,VICTORY_VO,ZERG,false,false,false,true,false,-4.0,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-12.0 LUFS, peak=0.5 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/protoss/VorazunA_GGWin00.ogg,bb48a7e8255a604b388bc04520045fcec2760d7612d737b0bf2824ebd8dd32ef,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Vorazun_Announcer/VorazunA_GGWin00.ogg,EndGameWon/GGWin,Vorazun,PROTOSS,and Arodine Shakoris.,VICTORY_VO,PROTOSS,false,false,false,true,false,-4.5,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-11.5 LUFS, peak=0.0 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/protoss/VorazunA_GGWin01.ogg,88ac4bf6451dd7629142c76602ce3361cae52e586ec2dff9f20cd7fcf482fd86,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Vorazun_Announcer/VorazunA_GGWin01.ogg,EndGameWon/GGWin,Vorazun,PROTOSS,Glory to the day long.,VICTORY_VO,PROTOSS,false,false,false,true,false,-4.8,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-11.2 LUFS, peak=-0.1 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/protoss/VorazunA_GGWin02.ogg,4bfc53570b4e4645a89c28e3585b24fa8b8aed9b6e69dab0bffb6db919b7daf4,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Vorazun_Announcer/VorazunA_GGWin02.ogg,EndGameWon/GGWin,Vorazun,PROTOSS,Witness the might of the Nerazim.,VICTORY_VO,PROTOSS,false,false,false,true,false,-2.6,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-13.4 LUFS, peak=0.0 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/result_audio/protoss/VorazunA_GGWin03.ogg,540a02d11f0d345665b99c1e629a3b4806da8b9629783ac40cb175fcbbaeeed4,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Vorazun_Announcer/VorazunA_GGWin03.ogg,EndGameWon/GGWin,Vorazun,PROTOSS,A battle for the legends.,VICTORY_VO,PROTOSS,false,false,false,true,false,-3.2,0,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-12.8 LUFS, peak=-0.2 dBFS; runtime gain targets <= -1 dBFS."
audio/ui/gg_ceremony/VorazunA_GGWin04.ogg,8be4f9036b973d29d031efa69ec7d4c0df691b83d16f1da7cc812b574286669c,mods/liberty.sc2mod/base.sc2assets/LocalizedData/Sounds/VO/Vorazun_Announcer/VorazunA_GGWin04.ogg,EndGameWon/GGWin,Vorazun,PROTOSS,How did the Terran say it? GG,GG_LITERAL,PROTOSS,true,true,true,false,false,-1.9,450,VERIFIED,"Reused identical canonical bytes already present in project. Measured I=-14.1 LUFS, peak=-1.3 dBFS; runtime gain targets <= -1 dBFS."
