id,asset_path,speaker,transcript,semantic_role,spoken_faction,sha256,source_filename
r18_intro_01,audio/ui/match_intro/faction_opening/protoss/Adept_Attack02.ogg,Adept,To glorious battle!,MATCH_OPENING,PROTOSS,9efa2c96f981d82aac2ecb26ec357a2439331c7bb5b09ed053f0bd2883c03297,Adept_Attack02.ogg
r18_intro_02,audio/ui/match_intro/faction_opening/protoss/Artanis_Yes03.ogg,Artanis,March boldly without fear!,MATCH_OPENING,PROTOSS,1396a3671f14d221be7b0e42fe7875563b66beb9ec5cc8fe539c57e54ece4f5f,Artanis_Yes03.ogg
r18_intro_03,audio/ui/match_intro/faction_opening/protoss/Artanis_Ready00.ogg,Artanis,We must stand as one.,MATCH_OPENING,PROTOSS,24a2d56955f3efb96ac2f0a82537f5eb807a9649a461fb7bc1fbdef18e58c4f9,Artanis_Ready00.ogg
r18_intro_04,audio/ui/match_intro/faction_opening/protoss/Carrier_Yes05.ogg,Carrier,Prepare to engage.,MATCH_OPENING,PROTOSS,767cde37ceb704cae1df9e9cad739eb205aa7ced3f10ba4e1076b39b0a848d8e,Carrier_Yes05.ogg
r18_intro_05,audio/ui/match_intro/faction_opening/protoss/Carrier_Yes01.ogg,Carrier,The time is now.,MATCH_OPENING,PROTOSS,d5169ee32e46c1a9f5f45741296e9309e41356e5875b2861bfd552d7e4cd2d17,Carrier_Yes01.ogg
r18_intro_06,audio/ui/match_intro/faction_opening/protoss/Carrier_What05.ogg,Carrier,We are ready.,MATCH_OPENING,PROTOSS,3a52e8249642d1835e16ea1b0b856b42dc691834de74608a61ab6bca469cb35c,Carrier_What05.ogg
r18_intro_07,audio/ui/match_intro/faction_opening/protoss/Corsair_What00.ogg,Corsair,Ready for battle!,MATCH_OPENING,PROTOSS,9d9a222d7513068344c4a4f3da752ec596f97e5f7f5d1a91fd677dcfe6814254,Corsair_What00.ogg
r18_intro_08,audio/ui/match_intro/faction_opening/protoss/DarkTemplar_Ready00.ogg,Dark Templar,From the shadows I come.,MATCH_OPENING,PROTOSS,7c6853f1ce1769da9f4791d0e6378e28453e10f965738295f447e8a102048e27,DarkTemplar_Ready00.ogg
r18_intro_09,audio/ui/match_intro/faction_opening/protoss/Fenix_Attack00.ogg,Fenix,To battle!,MATCH_OPENING,PROTOSS,6b4d088dfdfd77d90c6fe767a6ea578f786e30b33a981a5a9d3b083280373846,Fenix_Attack00.ogg
r18_intro_10,audio/ui/match_intro/faction_opening/protoss/FenixDragoon_What03.ogg,Fenix (Dragoon),I hunger for battle!,MATCH_OPENING,PROTOSS,dabe853861330a06de555555e43a6f9df16dd87adf066b8c53db36dca55751ba,FenixDragoon_What03.ogg
r18_intro_11,audio/ui/match_intro/faction_opening/protoss/Kaldalis_What03.ogg,Kaldalis,I stand ready.,MATCH_OPENING,PROTOSS,ed42a1dedbfb2c358acbb0f2b866039bbbb888bdd303f5a39e0f7c693129cad2,Kaldalis_What03.ogg
r18_intro_12,audio/ui/match_intro/faction_opening/protoss/Kaldalis_What06.ogg,Kaldalis,Identify our foe!,MATCH_OPENING,PROTOSS,4cab9af1a90232688ee93a5fab3aa3aa825d8bf3ee4a274b15528c6517f3fbb8,Kaldalis_What06.ogg
r18_intro_13,audio/ui/match_intro/faction_opening/protoss/Karax_Attack01.ogg,Karax,The opportune moment has come.,MATCH_OPENING,PROTOSS,a32e87e81ec835a31be887b4456185e2abe5abc666c8573a3a7ba614b01752c7,Karax_Attack01.ogg
r18_intro_14,audio/ui/match_intro/faction_opening/protoss/Selendis_Yes04.ogg,Selendis,It is time to act.,MATCH_OPENING,PROTOSS,bb8f4283ad4033b025c97b3db0c9d8868554fe86d23a746d6f0651cbe1f923d1,Selendis_Yes04.ogg
r18_intro_15,audio/ui/match_intro/faction_opening/protoss/TempestVoid_What05.ogg,Tempest,There is no greater glory than battle.,MATCH_OPENING,PROTOSS,426f7d5bc0d21ba53c44b0fa5aaea3b39bf03f86e1833b5876553bb0af39a948,TempestVoid_What05.ogg
r18_intro_16,audio/ui/match_intro/faction_opening/protoss/Zealot_Attack04.ogg,Zealot,We strike as one.,MATCH_OPENING,PROTOSS,3aeb72c8a12113f0a401575d7128872e7a9afb1246107bac4aadf058fd96572e,Zealot_Attack04.ogg
r18_intro_17,audio/ui/match_intro/faction_opening/terran/Battlecruiser_Attack00.ogg,Battlecruiser,Weapons charged and ready.,MATCH_OPENING,TERRAN,baa11e36d2a4fa66061b0c91c9d101d5fbe9a328064f32a540d1c320944d267e,Battlecruiser_Attack00.ogg
r18_intro_18,audio/ui/match_intro/faction_opening/terran/Battlecruiser_Ready00.ogg,Battlecruiser,Who called in the fleet?,MATCH_OPENING,TERRAN,207c580f98f2b433108178a0bc4805c2539b43225ec692c35380d11ba220513f,Battlecruiser_Ready00.ogg
r18_intro_19,audio/ui/match_intro/faction_opening/terran/Cyclone_Attack01.ogg,Cyclone,And here we go.,MATCH_OPENING,TERRAN,e3614e62a9b5e4401cc5f0db448efed122421b1dc87eb5c54a5e1e1aa115e352,Cyclone_Attack01.ogg
r18_intro_20,audio/ui/match_intro/faction_opening/terran/Firebat_Yes03.ogg,Firebat,Let's do this.,MATCH_OPENING,TERRAN,4ec39f838c1dc08cded453b39574df933715a6cf696090e6803523f7f7fae4a2,Firebat_Yes03.ogg
r18_intro_21,audio/ui/match_intro/faction_opening/terran/Hellion_Ready00.ogg,Hellion,Ready to raise some hell!,MATCH_OPENING,TERRAN,58ce839047a88e0df6b7bd6a049232bb6a9cb464f9ecc9dac6ad65fa401bdc4d,Hellion_Ready00.ogg
r18_intro_22,audio/ui/match_intro/faction_opening/terran/Marauder_Yes04.ogg,Marauder,It's go time!,MATCH_OPENING,TERRAN,89c4e5084970fd56405c1e9291bceb0cf045226e7c948c26cddbfd904fc48544,Marauder_Yes04.ogg
r18_intro_23,audio/ui/match_intro/faction_opening/terran/Marine_Attack07.ogg,Marine,Let's do this.,MATCH_OPENING,TERRAN,f200241d3d531188a6fd9e1fdae95d63403735813a7cd5a5be6c92cef21e0e18,Marine_Attack07.ogg
r18_intro_24,audio/ui/match_intro/faction_opening/terran/Reaper_Attack00.ogg,Reaper,Here comes the pain!,MATCH_OPENING,TERRAN,8823126f64bf24e270c0c841086d7217eae82fac0102428dc5870b432f79633c,Reaper_Attack00.ogg
r18_intro_25,audio/ui/match_intro/faction_opening/terran/SiegeTank_Attack02.ogg,Siege Tank,Ready to drop the hammer!,MATCH_OPENING,TERRAN,329c0fe82ca20053ce81a9642694fe7820a60a5ff595bb0442406e9e79edb834,SiegeTank_Attack02.ogg
r18_intro_26,audio/ui/match_intro/faction_opening/terran/SiegeTank_Ready00.ogg,Siege Tank,Ready to roll out!,MATCH_OPENING,TERRAN,87d6eeae70f1f766147d6d221c8a9451cc2c574c934512db3c1f0677806e1195,SiegeTank_Ready00.ogg
r18_intro_27,audio/ui/match_intro/faction_opening/terran/Thor_Ready00.ogg,Thor,Thor is here!,MATCH_OPENING,TERRAN,805242a354fc2698d721b47345924a65f9a89ad660adb2c598d8001c084aa728,Thor_Ready00.ogg
r18_intro_28,audio/ui/match_intro/faction_opening/terran/Viking_What02.ogg,Viking,Let's get into the fight.,MATCH_OPENING,TERRAN,a3c7bf089590b77a28c389a6f9a650f24dc0449c0dd9b180ed21c1ef20a3c01d,Viking_What02.ogg
r18_intro_29,audio/ui/match_intro/faction_opening/terran/Viking_What03.ogg,Viking,Made for battle.,MATCH_OPENING,TERRAN,63f55ad9be900176810d60e3c86348385c9397823dcbe07bf8ffb40fb7d4c98b,Viking_What03.ogg
r18_intro_30,audio/ui/match_intro/faction_opening/terran/Viking_What04.ogg,Viking,You ready for war?,MATCH_OPENING,TERRAN,dfd673f38f3436ab4235ae41e5656a95919dbc93f296da51dfd567c5e96f5fe3,Viking_What04.ogg
r18_intro_31,audio/ui/match_intro/faction_opening/terran/Wraith_Attack02.ogg,Wraith,It's go time.,MATCH_OPENING,TERRAN,1980a68915a0eb703d223e4bd976f76b0b800ea7759afec2317ff6db19ef3b4a,Wraith_Attack02.ogg
r18_intro_32,audio/ui/match_intro/faction_opening/zerg/DehakaCommander_Ready01.ogg,Dehaka,I cannot be exterminated.,MATCH_OPENING,ZERG,49d1ac36822b4fc64afedab6afcd0292f0a15eb197bb68f92310298ccaf1f102,DehakaCommander_Ready01.ogg
r18_intro_33,audio/ui/match_intro/faction_opening/zerg/Kerrigan_Ready00.ogg,Kerrigan,"Here I come, ready or not.",MATCH_OPENING,ZERG,f069c04e97707f693f855a7b4a4d0f5251524fc4ee97de0008ec8311f462d3be,Kerrigan_Ready00.ogg
r18_intro_34,audio/ui/match_intro/faction_opening/zerg/Kerrigan_Attack03.ogg,Kerrigan,Let's have some fun!,MATCH_OPENING,ZERG,0e66e731afa61ec3f8ccd8fe6d92a8fce6613efec031976c2b07c2155ed89f6b,Kerrigan_Attack03.ogg
r18_intro_35,audio/ui/match_intro/faction_opening/zerg/Kerrigan_Attack00.ogg,Kerrigan,The swarm will consume all.,MATCH_OPENING,ZERG,ed992412a52600d0fcfd453fb4d928943d8314d4c722819f7805708950e05e76,Kerrigan_Attack00.ogg
r18_intro_36,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Attack04.ogg,Zagara,Feel the fury of the swarm!,MATCH_OPENING,ZERG,238fd7e2ce09a312cb03ae35a2b925a050bd8231cb39748189521aa4c8233634,ZagaraHero_Attack04.ogg
r18_intro_37,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Attack01.ogg,Zagara,Our prey nears!,MATCH_OPENING,ZERG,5cfcced0ae4f4e1d53a3dacf02e8eb932f729f8d7769d63a9b0787d16f491f31,ZagaraHero_Attack01.ogg
r18_intro_38,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Yes02.ogg,Zagara,The fittest shall survive!,MATCH_OPENING,ZERG,75c2dd31b5d1104b910e4ed9aefaf0b795cdd2e19518a5c35dcd8a59450458c9,ZagaraHero_Yes02.ogg
r18_intro_39,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Attack03.ogg,Zagara,This swarm comes for you!,MATCH_OPENING,ZERG,dcbd44aa0a30412e226841b7d1441a5715e61ea1ee6fde050b5e84577a6ea3d1,ZagaraHero_Attack03.ogg
r18_intro_40,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Yes04.ogg,Zagara,This world shall fall.,MATCH_OPENING,ZERG,688b4daa61fe6f1abd9dd0d228ea2c3f96fda1443920035dba74f7390da8f25d,ZagaraHero_Yes04.ogg
r18_intro_41,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_What02.ogg,Zagara,We are ready to kill!,MATCH_OPENING,ZERG,fa4d933b94525764b89dd1847fc8828deb299312f89d0ca36cdbae4a2716e59d,ZagaraHero_What02.ogg
r18_intro_42,audio/ui/match_intro/faction_opening/zerg/ZagaraHero_Attack00.ogg,Zagara,You cannot escape the swarm!,MATCH_OPENING,ZERG,9c9046ad45e335385ee9bf9ea4d3a73e02740b78dbecf85f717b7ef34ea1961e,ZagaraHero_Attack00.ogg
r18_intro_43,audio/ui/match_intro/glhf_literal/Day9_StartGame03.ogg,Day[9],"Good luck, have fun!",GLHF_LITERAL,NEUTRAL,1e78eb5770408e14fd44fa1da7583d1400a1eb105ab2ba2ab83402fe652e0dc7,Day9_StartGame03.ogg
r18_intro_44,audio/ui/match_intro/glhf_literal/Lowko_GameResumed01.ogg,Lowko,Good luck out there,GLHF_LITERAL,NEUTRAL,b5e26f4495bf2e2b8b380852bde203f2ec16aaa350eb85c35913a9f07d0f5d80,Lowko_GameResumed01.ogg
r18_intro_45,audio/ui/match_intro/glhf_literal/Lowko_StartGame00.ogg,Lowko,"Good luck, you can do this!",GLHF_LITERAL,NEUTRAL,3974303cfb0a611d8fe795c8aab6fd4a2e25b028b0680c236e1447f885b39dc7,Lowko_StartGame00.ogg
r18_intro_46,audio/ui/match_intro/glhf_literal/Lowko_StartGame01.ogg,Lowko,"It's time to focus, good luck!",GLHF_LITERAL,NEUTRAL,2e7d998004d297549c93d53df525d5a8b7009417f4991882b30f73a19a71c5d4,Lowko_StartGame01.ogg
r18_intro_47,audio/ui/match_intro/glhf_literal/Lowko_StartGame02.ogg,Lowko,Good luck and have fun!,GLHF_LITERAL,NEUTRAL,106c42c2a216da9bea5976c78e2c2af012f7e6d492d5ac4fa2038e6de6279cae,Lowko_StartGame02.ogg
r18_intro_48,audio/ui/match_intro/glhf_literal/StoneAnnouncer_StartGame00.ogg,Stone,Best of luck to you.,GLHF_LITERAL,NEUTRAL,539f84c1568b5205f136b33a0b318c996d48ec00776607ff3f0777acfc545b11,StoneAnnouncer_StartGame00.ogg
