asset_path,sha256,unit_audio_id,runtime_roles
audio/classic/units/arbiter/chatter/pabPss00__3a87a25641.wav,3a87a256417d13ba5fa6a845940c069a59f8c69663c99223786bf8555ef76dcf,arbiter,chatter
audio/classic/units/arbiter/chatter/pabPss01__e608bab11a.wav,e608bab11a354d8fe781dfdb527034576602043cd16781a5a5d492763ab8955a,arbiter,chatter
audio/classic/units/arbiter/chatter/pabPss02__ef3dbc7e79.wav,ef3dbc7e795112d84f1abeaef0997e5e4b6bff46455a426d585317a99c2adc49,arbiter,chatter
audio/classic/units/arbiter/chatter/pabPss03__7b72d687fa.wav,7b72d687faca7dee29086da83c7ee98afb812bc83adbfb9b5326fbfe43440371,arbiter,chatter
audio/classic/units/arbiter/chatter/pabPss04__2df8693246.wav,2df8693246fe006f60ce0d005a5000f113276638566b64130bb25f6cfceb33b3,arbiter,chatter
audio/classic/units/arbiter/move/pabRdy00__3b458a97a0.wav,3b458a97a07f433f338be9f8571839d47f14c0fbdfc5e72ab668b7659b7596f2,arbiter,move
audio/classic/units/arbiter/move/pabWht00__846a0ca39a.wav,846a0ca39af34377b647302c5b2900c448c5ca29b040b6f872ed799db6b71c6c,arbiter,move
audio/classic/units/arbiter/move/pabWht01__c518a18c8c.wav,c518a18c8c3034f487571a77e51eacdf001819490bf0bb34406c28eabe650a71,arbiter,move
audio/classic/units/arbiter/move/pabWht02__a06121fb08.wav,a06121fb08559e1925d411648f32c9fe0ad9974d128babb5ed5b72f00de8165b,arbiter,move
audio/classic/units/arbiter/move/pabWht03__a566c8b0d3.wav,a566c8b0d3fce5a419d55ab6b4d39ee1649594b9e3a8b7ff2e8faca263e52e5b,arbiter,move
audio/classic/units/arbiter/move/pabYes00__01aeebc63b.wav,01aeebc63bb05e2f466cc57c613704891574257f10f01bd7018d1f318fee8a5b,arbiter,move
audio/classic/units/arbiter/move/pabYes01__a874575c21.wav,a874575c21a2539b104486ecd38d1f87f0365514047346af3928ed8d35df5e0c,arbiter,move
audio/classic/units/arbiter/move/pabYes02__c1e6e2e4c0.wav,c1e6e2e4c0477c81b41cd30e9c2dd703565177a61e153cc189ac9592d970a46e,arbiter,move
audio/classic/units/archon/attack/alias_archon_parYes00__6a07e6d591.wav,6a07e6d5919e8745595fe40d4cc76b0586ee9130c6b6091a8e75a6d25e42313e,archon,attack
audio/classic/units/archon/attack/alias_archon_parYes01__e0f774c799.wav,e0f774c799204bd96b071cc17b98e972241151c29b43292da9ccee11f7f72553,archon,attack
audio/classic/units/archon/attack/alias_archon_parYes02__bdcdd3b085.wav,bdcdd3b0858fa5786d0c849b2268e7e750cc5330b75f3629e8247a350a1e6244,archon,attack
audio/classic/units/archon/move/parYes00__6a07e6d591.wav,6a07e6d5919e8745595fe40d4cc76b0586ee9130c6b6091a8e75a6d25e42313e,archon,move
audio/classic/units/archon/move/parYes01__e0f774c799.wav,e0f774c799204bd96b071cc17b98e972241151c29b43292da9ccee11f7f72553,archon,move
audio/classic/units/archon/move/parYes02__bdcdd3b085.wav,bdcdd3b0858fa5786d0c849b2268e7e750cc5330b75f3629e8247a350a1e6244,archon,move
