id,deploy_move,attack,death
scv,10,4,4
marine,16,9,6
marauder,16,6,6
reaper,10,6,4
ghost,10,7,4
hellion,10,7,4
hellbat,10,7,4
widow_mine,8,3,4
cyclone,10,7,1
siege_tank,16,10,6
thor,10,6,1
viking,10,7,1
medivac,10,6,1
liberator,10,7,4
banshee,10,7,1
raven,10,4,1
battlecruiser,10,6,1
goliath,11,3,1
medic,13,7,6
firebat,10,7,4
vulture,10,3,4
wraith,10,3,4
science_vessel,9,4,1
spectre,10,7,4
diamondback,10,7,1
warhound,1,0,0
hercules,7,2,1
warbot,10,7,0
jim_raynor,13,5,6
tychus,10,7,4
nova,10,6,4
swann,9,4,4
matt_horner,2,0,0
mira_han,0,0,0
mengsk,10,7,4
stukov,1,3,0
probe,9,0,1
zealot,14,7,5
stalker,15,8,1
sentry,12,7,5
adept,16,8,4
high_templar,10,7,4
dark_templar,10,6,4
archon,10,3,4
immortal,14,7,1
colossus,7,0,2
disruptor,1,2,1
observer,10,0,0
warp_prism,10,0,0
phoenix,10,7,1
void_ray,10,7,1
oracle,0,0,0
tempest,10,7,0
carrier,10,6,1
mothership,10,6,1
dragoon,10,7,4
reaver,9,5,4
corsair,10,3,1
scout,10,3,4
arbiter,10,7,1
artanis,10,5,1
zeratul,15,5,6
tassadar,0,0,0
selendis,10,5,1
vorazun,10,7,1
karax,10,7,1
alarak,10,7,1
fenix,10,7,1
rohana,7,0,0
kaldalis,10,7,1
karass,10,4,1
drone,10,7,4
zergling,16,5,5
baneling,10,7,4
roach,14,4,4
ravager,16,9,6
hydralisk,16,6,6
lurker,10,7,4
infestor,10,0,4
swarm_host,10,7,4
ultralisk,10,5,4
mutalisk,10,7,2
corruptor,10,6,4
brood_lord,10,7,4
overlord,10,0,4
overseer,10,0,4
queen,16,10,3
viper,10,0,4
scourge,0,0,0
defiler,0,0,3
guardian,9,1,1
devourer,9,0,4
aberration,10,7,4
brutalisk,10,7,0
leviathan,10,7,0
kerrigan,10,6,2
zagara,10,7,2
abathur,10,0,0
dehaka,10,0,2
hybrid_destroyer,9,4,2
hybrid_reaver,9,4,2
hybrid_dominator,9,4,2
hybrid_nemesis,9,4,2
hybrid_behemoth,9,4,2
hybrid_maar,9,4,2
building:command_center,1,0,0
building:orbital_command,1,0,0
building:planetary_fortress,1,0,0
building:supply_depot,1,0,0
building:refinery,1,0,0
building:barracks,1,0,0
building:engineering_bay,1,0,0
building:bunker,1,0,0
building:missile_turret,1,0,0
building:sensor_tower,1,0,0
building:factory,1,0,0
building:starport,1,0,0
building:armory,1,0,0
building:fusion_core,1,0,0
building:tech_lab,1,0,0
building:reactor,1,0,0
building:nexus,1,0,0
building:pylon,1,0,0
building:assimilator,1,0,0
building:gateway,1,0,0
building:warp_gate,1,0,0
building:forge,1,0,0
building:cybernetics_core,1,0,0
building:photon_cannon,1,0,0
building:shield_battery,1,0,0
building:twilight_council,1,0,0
building:templar_archives,1,0,0
building:dark_shrine,1,0,0
building:robotics_facility,1,0,0
building:robotics_bay,1,0,0
building:stargate,1,0,0
building:fleet_beacon,1,0,0
building:hatchery,1,0,0
building:lair,1,0,0
building:hive,1,0,0
building:extractor,1,0,0
building:spawning_pool,1,0,0
building:evolution_chamber,1,0,0
building:roach_warren,1,0,0
building:baneling_nest,1,0,0
building:spine_crawler,1,0,0
building:spore_crawler,1,0,0
building:hydralisk_den,1,0,0
building:lurker_den,1,0,0
building:infestation_pit,1,0,0
building:spire,1,0,0
building:greater_spire,1,0,0
building:nydus_network,1,0,0
building:nydus_worm,1,0,0
building:ultralisk_cavern,1,0,0
building:omega_worm,1,0,0
