type,id,category,file,source,score
unit,scv,deploy_move,SCV_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes09.ogg,205
unit,scv,deploy_move,SCV_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes10.ogg,205
unit,scv,deploy_move,SCV_Yes11.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes11.ogg,205
unit,scv,deploy_move,SCV_Yes12.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes12.ogg,205
unit,scv,deploy_move,SCV_Yes13.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes13.ogg,205
unit,scv,deploy_move,SCV_Yes14.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes14.ogg,205
unit,scv,deploy_move,SCV_Yes15.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes15.ogg,205
unit,scv,deploy_move,SCV_Yes16.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes16.ogg,205
unit,scv,deploy_move,SCV_Yes17.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes17.ogg,205
unit,scv,deploy_move,SCV_Yes18.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Yes18.ogg,205
unit,scv,attack,SCV_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Attack00.ogg,205
unit,scv,attack,SCV_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Attack01.ogg,205
unit,scv,attack,SCV_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Attack02.ogg,205
unit,scv,attack,SCV_Attack03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Attack03.ogg,205
unit,scv,death,SCV_Death06.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Death06.wav,205
unit,scv,death,SCV_Death07.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Death07.wav,205
unit,scv,death,SCV_Death08.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Death08.wav,205
unit,scv,death,SCV_Death09.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/SCV/SCV_Death09.wav,205
unit,marine,deploy_move,Marine_Yes07.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes07.ogg,205
unit,marine,deploy_move,Marine_Yes08.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes08.ogg,205
unit,marine,deploy_move,Marine_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes09.ogg,205
unit,marine,deploy_move,Marine_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes10.ogg,205
unit,marine,deploy_move,Marine_Yes11.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes11.ogg,205
unit,marine,deploy_move,Marine_Yes12.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes12.ogg,205
unit,marine,deploy_move,Marine_Yes13.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes13.ogg,205
unit,marine,deploy_move,Marine_Yes14.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes14.ogg,205
unit,marine,deploy_move,Marine_Yes15.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes15.ogg,205
unit,marine,deploy_move,Marine_Yes16.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes16.ogg,205
unit,marine,deploy_move,Marine_Yes17.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes17.ogg,205
unit,marine,deploy_move,Marine_Yes18.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes18.ogg,205
unit,marine,deploy_move,Marine_Yes19.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes19.ogg,205
unit,marine,deploy_move,Marine_Yes20.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes20.ogg,205
unit,marine,deploy_move,Marine_Yes21.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes21.ogg,205
unit,marine,deploy_move,Marine_Yes22.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Yes22.ogg,205
unit,marine,attack,Marine_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack00.ogg,205
unit,marine,attack,Marine_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack01.ogg,205
unit,marine,attack,Marine_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack02.ogg,205
unit,marine,attack,Marine_Attack03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack03.ogg,205
unit,marine,attack,Marine_Attack04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack04.ogg,205
unit,marine,attack,Marine_Attack05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack05.ogg,205
unit,marine,attack,Marine_Attack06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack06.ogg,205
unit,marine,attack,Marine_Attack07.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack07.ogg,205
unit,marine,attack,Marine_Attack08.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Attack08.ogg,205
unit,marine,death,Marine_Death02.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death02.wav,205
unit,marine,death,Marine_Death03.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death03.wav,205
unit,marine,death,Marine_Death04.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death04.wav,205
unit,marine,death,Marine_Death05.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death05.wav,205
unit,marine,death,Marine_Death06.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death06.wav,205
unit,marine,death,Marine_Death07.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marine/Marine_Death07.wav,205
unit,marauder,deploy_move,Marauder_What02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_What02.ogg,205
unit,marauder,deploy_move,Marauder_What03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_What03.ogg,205
unit,marauder,deploy_move,Marauder_What04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_What04.ogg,205
unit,marauder,deploy_move,Marauder_What05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_What05.ogg,205
unit,marauder,deploy_move,Marauder_Yes00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes00.ogg,205
unit,marauder,deploy_move,Marauder_Yes01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes01.ogg,205
unit,marauder,deploy_move,Marauder_Yes02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes02.ogg,205
unit,marauder,deploy_move,Marauder_Yes03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes03.ogg,205
unit,marauder,deploy_move,Marauder_Yes04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes04.ogg,205
unit,marauder,deploy_move,Marauder_Yes05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes05.ogg,205
unit,marauder,deploy_move,Marauder_Yes06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes06.ogg,205
unit,marauder,deploy_move,Marauder_Yes07.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes07.ogg,205
unit,marauder,deploy_move,Marauder_Yes08.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes08.ogg,205
unit,marauder,deploy_move,Marauder_Yes09.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes09.ogg,205
unit,marauder,deploy_move,Marauder_Yes10.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes10.ogg,205
unit,marauder,deploy_move,Marauder_Yes11.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Yes11.ogg,205
unit,marauder,attack,Marauder_Attack00.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Attack00.ogg,205
unit,marauder,attack,Marauder_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Attack01.ogg,205
unit,marauder,attack,Marauder_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Attack02.ogg,205
unit,marauder,attack,Marauder_Attack03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Attack03.ogg,205
unit,marauder,attack,Marauder_Attack04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Marauder/Marauder_Attack04.ogg,205
